work_id,work_id_raw,mp_id,ida_id,category,description,recommended_amount,recommendation_date
473,ROA-18-2023-0473,13,13,Roads,Construction of roads facility at Palla Chowk,100700000,2024-11-09
474,SPO-9-2023-0474,4,1,Sports,Construction of sports facility at Mani Road,476500000,2023-12-04
475,SAN-19-2023-0475,14,20,Sanitation,Construction of sanitation facility at Raghavan,417900000,2025-07-27
476,SPO-10-2023-0476,5,17,Sports,Construction of sports facility at Pai Marg,168900000,2025-04-23
477,ELE-27-2023-0477,22,15,Electricity,Construction of electricity facility at Mannan Street,74100000,2023-10-03
478,DRI-18-2023-0478,13,16,Drinking Water,Construction of drinking water facility at Brar Road,268600000,2024-05-27
479,ELE-15-2023-0479,10,9,Electricity,Construction of electricity facility at Kunda Chowk,461500000,2025-04-03
480,DRI-28-2023-0480,23,13,Drinking Water,Construction of drinking water facility at Kala Chowk,384700000,2024-02-04
481,RAI-17-2023-0481,12,9,Railways,Construction of railways facility at Madan Circle,451300000,2025-08-25
482,DRI-11-2023-0482,6,6,Drinking Water,Construction of drinking water facility at Magar Circle,476500000,2023-12-16
483,DRI-10-2023-0483,5,14,Drinking Water,Construction of drinking water facility at Khatri Zila,205500000,2024-03-07
484,DRI-19-2023-0484,14,18,Drinking Water,Construction of drinking water facility at Wali Nagar,473500000,2024-02-23
485,SPO-19-2023-0485,14,1,Sports,Construction of sports facility at Ben Ganj,388700000,2023-11-17
486,ELE-9-2023-0486,4,14,Electricity,Construction of electricity facility at Narayanan Marg,151200000,2025-03-11
487,ELE-19-2023-0487,14,3,Electricity,Construction of electricity facility at Chaudhry Chowk,360200000,2025-02-11
488,DRI-16-2023-0488,11,10,Drinking Water,Construction of drinking water facility at Ahluwalia Street,393700000,2024-11-01
489,ROA-16-2023-0489,11,9,Roads,Construction of roads facility at Ray Street,60000000,2025-01-20
490,RAI-10-2023-0490,5,10,Railways,Construction of railways facility at Sood Chowk,421700000,2025-01-18
491,HEA-26-2023-0491,21,17,Health,Construction of health facility at Mani Ganj,90000000,2024-05-07
492,SPO-25-2023-0492,20,11,Sports,Construction of sports facility at Bhargava Road,196000000,2025-08-06
493,SAN-30-2023-0493,25,19,Sanitation,Construction of sanitation facility at Kata Zila,351900000,2024-10-20
494,ROA-24-2023-0494,19,3,Roads,Construction of roads facility at Gill Nagar,319600000,2024-07-21
495,EDU-6-2023-0495,1,5,Education,Construction of education facility at Bansal Street,446200000,2025-06-11
496,ELE-18-2023-0496,13,3,Electricity,Construction of electricity facility at Tandon Marg,456600000,2024-01-23
497,RAI-19-2023-0497,14,8,Railways,Construction of railways facility at Barad Road,146600000,2023-09-08
498,HEA-20-2023-0498,15,8,Health,Construction of health facility at Chhabra Road,280700000,2025-08-22
499,DRI-25-2023-0499,20,10,Drinking Water,Construction of drinking water facility at Mane Path,193800000,2024-08-18
500,RAI-11-2023-0500,6,12,Railways,Construction of railways facility at Viswanathan Circle,489800000,2024-09-18
501,SAN-29-2023-0501_Sanitation,24,8,Sanitation,Construction of sanitation facility at Thaman Street,488900000,2024-08-29
502,ELE-30-2023-0502,25,7,Electricity,Construction of electricity facility at Hans Road,369100000,2025-05-21
503,SAN-30-2023-0503,25,1,Sanitation,Construction of sanitation facility at Narayanan Zila,420200000,2024-01-05
504,RAI-7-2023-0504_Railways,2,20,Railways,Construction of railways facility at Kurian Chowk,464500000,2025-03-12
505,SAN-13-2023-0505,8,18,Sanitation,Construction of sanitation facility at Atwal Street,167300000,2025-03-26
506,EDU-12-2023-0506,7,2,Education,Construction of education facility at Merchant Path,53300000,2024-11-15
507,ROA-10-2023-0507,5,3,Roads,Construction of roads facility at Gill Ganj,68400000,2024-12-18
508,SAN-13-2023-0508,8,8,Sanitation,Construction of sanitation facility at Sane Marg,411300000,2024-10-05
509,SAN-7-2023-0509,2,18,Sanitation,Construction of sanitation facility at Chadha Path,272000000,2024-07-08
510,DRI-28-2023-0510_Drinking Water,23,2,Drinking Water,Construction of drinking water facility at Goyal Zila,156500000,2023-12-19
511,SPO-30-2023-0511,25,19,Sports,Construction of sports facility at Naik Chowk,371000000,2025-08-27
512,EDU-18-2023-0512,13,17,Education,Construction of education facility at Ahuja Ganj,431400000,2024-03-21
513,RAI-10-2023-0513,5,15,Railways,Construction of railways facility at Keer Marg,435400000,2024-08-12
514,SAN-14-2023-0514,9,7,Sanitation,Construction of sanitation facility at Narayan Road,421300000,2024-04-22
515,SPO-11-2023-0515,6,4,Sports,Construction of sports facility at Apte,137600000,2024-03-22
516,ELE-13-2023-0516,8,8,Electricity,Construction of electricity facility at Keer Path,445100000,2023-10-19
517,EDU-27-2023-0517,22,2,Education,Construction of education facility at Shroff Zila,448600000,2024-04-26
518,SPO-28-2023-0518,23,6,Sports,Construction of sports facility at Ravi Street,107000000,2025-02-14
519,ELE-12-2023-0519,7,11,Electricity,Construction of electricity facility at Mukhopadhyay Circle,50100000,2025-02-18
520,SAN-26-2023-0520,21,16,Sanitation,Construction of sanitation facility at Merchant Zila,295500000,2024-06-12
521,DRI-21-2023-0521,16,15,Drinking Water,Construction of drinking water facility at Kant,352400000,2024-02-18
522,SPO-27-2023-0522,22,12,Sports,Construction of sports facility at Sridhar Street,310600000,2023-12-28
523,SPO-8-2023-0523,3,1,Sports,Construction of sports facility at Prakash Chowk,345100000,2024-07-19
524,DRI-23-2023-0524,18,19,Drinking Water,Construction of drinking water facility at Sinha Circle,167900000,2025-04-11
525,SPO-16-2023-0525,11,17,Sports,Construction of sports facility at Kamdar Circle,197200000,2025-04-14
526,HEA-24-2023-0526,19,11,Health,Construction of health facility at Bumb Ganj,461000000,2024-10-13
527,RAI-21-2023-0527,16,13,Railways,Construction of railways facility at Wable Chowk,115500000,2025-02-28
528,RAI-11-2023-0528,6,2,Railways,Construction of railways facility at Brahmbhatt Path,113900000,2025-08-13
529,RAI-27-2023-0529,22,1,Railways,Construction of railways facility at Choudhury,321500000,2023-10-18
530,RAI-24-2023-0530,19,12,Railways,Construction of railways facility at Tiwari Circle,188500000,2024-02-05
531,ROA-23-2023-0531,18,4,Roads,Construction of roads facility at Yadav,256400000,2023-12-26
532,RAI-30-2023-0532,25,10,Railways,Construction of railways facility at Narang Street,352900000,2025-06-25
533,EDU-28-2023-0533,23,18,Education,Construction of education facility at Sathe Circle,168800000,2023-11-30
534,SAN-6-2023-0534,1,6,Sanitation,Construction of sanitation facility at Suresh Ganj,94500000,2023-11-10
535,HEA-27-2023-0535,22,8,Health,Construction of health facility at Sehgal Circle,361100000,2025-05-21
536,RAI-6-2023-0536,1,8,Railways,Construction of railways facility at Setty Nagar,362900000,2023-12-12
537,SPO-28-2023-0537,23,12,Sports,Construction of sports facility at Sagar Circle,273300000,2024-08-20
538,SAN-19-2023-0538,14,13,Sanitation,Construction of sanitation facility at Bhardwaj,197300000,2024-11-08
539,RAI-21-2023-0539,16,19,Railways,Construction of railways facility at Morar Chowk,337900000,2025-03-15
540,HEA-23-2023-0540,18,18,Health,Construction of health facility at Randhawa Nagar,149700000,2024-03-16
541,ELE-20-2023-0541,15,9,Electricity,Construction of electricity facility at Kamdar Nagar,257500000,2024-11-23
542,EDU-14-2023-0542,9,15,Education,Construction of education facility at Bath Zila,277100000,2024-07-26
543,EDU-12-2023-0543,7,10,Education,Construction of education facility at Bhatt Path,452800000,2024-10-25
544,SPO-17-2023-0544,12,6,Sports,Construction of sports facility at Biswas Nagar,228900000,2025-08-26
545,ROA-15-2023-0545_Roads,10,17,Roads,Construction of roads facility at Balay Chowk,415200000,2024-04-10
546,SAN-10-2023-0546,5,2,Sanitation,Construction of sanitation facility at Gole Marg,370500000,2025-04-20
547,RAI-16-2023-0547,11,19,Railways,Construction of railways facility at Salvi Street,149200000,2024-06-17
548,SAN-13-2023-0548,8,2,Sanitation,Construction of sanitation facility at Sen Marg,115900000,2025-07-07
549,SPO-21-2023-0549,16,2,Sports,Construction of sports facility at Prashad Marg,206400000,2023-11-02
550,DRI-14-2023-0550,9,15,Drinking Water,Construction of drinking water facility at Deol Circle,245300000,2025-01-20
551,DRI-7-2023-0551,2,2,Drinking Water,Construction of drinking water facility at Dani Path,327900000,2024-01-17
552,HEA-7-2023-0552_Health,2,20,Health,Construction of health facility at Ramaswamy Circle,109000000,2024-10-15
553,ELE-16-2023-0553,11,11,Electricity,Construction of electricity facility at Kapoor Street,61700000,2025-06-10
554,EDU-9-2023-0554,4,11,Education,Construction of education facility at Bajaj Nagar,143500000,2024-04-19
555,EDU-19-2023-0555,14,2,Education,Construction of education facility at Samra Chowk,497100000,2024-10-18
556,SPO-24-2023-0556,19,16,Sports,Construction of sports facility at Karpe Marg,187600000,2024-03-11
557,SPO-9-2023-0557_Sports,4,8,Sports,Construction of sports facility at Pal Chowk,179200000,2023-12-30
558,ROA-16-2023-0558,11,12,Roads,Construction of roads facility at Gulati Road,390900000,2025-08-29
559,HEA-17-2023-0559,12,13,Health,Construction of health facility at Balay Zila,192900000,2025-05-21
560,HEA-29-2023-0560,24,17,Health,Construction of health facility at Babu Marg,146200000,2024-03-05
561,ROA-23-2023-0561,18,13,Roads,Construction of roads facility at Bhavsar Ganj,93400000,2023-11-18
562,SAN-11-2023-0562,6,15,Sanitation,Construction of sanitation facility at Bandi,283500000,2024-08-12
563,DRI-22-2023-0563,17,17,Drinking Water,Construction of drinking water facility at Bava,447300000,2024-03-09
564,EDU-21-2023-0564,16,8,Education,Construction of education facility at Ratti Nagar,317100000,2024-08-06
565,RAI-9-2023-0565,4,6,Railways,Construction of railways facility at Zacharia Ganj,94500000,2024-02-16
566,ROA-16-2023-0566,11,12,Roads,Construction of roads facility at Dey Nagar,215600000,2024-09-26
567,SAN-13-2023-0567,8,5,Sanitation,Construction of sanitation facility at Kaur Road,230100000,2025-05-26
568,RAI-7-2023-0568,2,14,Railways,Construction of railways facility at Nagar,227300000,2024-11-22
569,SPO-15-2023-0569,10,10,Sports,Construction of sports facility at Nagi,232100000,2024-03-03
570,DRI-21-2023-0570,16,18,Drinking Water,Construction of drinking water facility at Dhar Road,398700000,2025-01-25
571,DRI-29-2023-0571,24,4,Drinking Water,Construction of drinking water facility at Kant Circle,383100000,2024-07-18
572,RAI-27-2023-0572,22,10,Railways,Construction of railways facility at Maharaj Road,69900000,2023-10-18
573,SAN-10-2023-0573_Sanitation,5,4,Sanitation,Construction of sanitation facility at Gill Circle,484900000,2024-12-30
574,SAN-9-2023-0574,4,19,Sanitation,Construction of sanitation facility at Tandon Marg,92200000,2023-10-07
575,EDU-28-2023-0575,23,20,Education,Construction of education facility at Raj Path,217700000,2025-05-03
576,HEA-27-2023-0576,22,16,Health,Construction of health facility at Nagar Circle,234600000,2025-02-22
577,EDU-8-2023-0577,3,2,Education,Construction of education facility at Rege Marg,435100000,2023-12-25
578,RAI-10-2023-0578,5,15,Railways,Construction of railways facility at Puri Road,121500000,2024-01-21
579,EDU-13-2023-0579,8,3,Education,Construction of education facility at Solanki Circle,171200000,2024-03-06
580,ELE-15-2023-0580,10,14,Electricity,Construction of electricity facility at Mital Ganj,438200000,2025-06-28
581,DRI-10-2023-0581,5,1,Drinking Water,Construction of drinking water facility at Sheth Street,240300000,2025-08-11
582,ELE-6-2023-0582,1,5,Electricity,Construction of electricity facility at Sachar Nagar,301000000,2024-07-20
583,ELE-24-2023-0583,19,16,Electricity,Construction of electricity facility at Wagle Circle,488500000,2023-12-14
584,SAN-12-2023-0584,7,19,Sanitation,Construction of sanitation facility at Kibe Marg,153600000,2024-03-17
585,ELE-17-2023-0585,12,13,Electricity,Construction of electricity facility at Narayanan Ganj,487100000,2025-01-15
586,SAN-16-2023-0586,11,7,Sanitation,Construction of sanitation facility at Sengupta Zila,292100000,2025-06-19
587,DRI-10-2023-0587,5,3,Drinking Water,Construction of drinking water facility at Chanda Path,164200000,2024-10-21
588,HEA-21-2023-0588,16,15,Health,Construction of health facility at Behl Ganj,277600000,2024-03-27
589,SAN-12-2023-0589,7,15,Sanitation,Construction of sanitation facility at Baral Marg,469000000,2025-07-10
590,ROA-22-2023-0590,17,6,Roads,Construction of roads facility at Guha Zila,415000000,2025-05-17
591,ELE-6-2023-0591,1,14,Electricity,Construction of electricity facility at Kalla,120500000,2024-09-07
592,ROA-7-2023-0592,2,10,Roads,Construction of roads facility at Natarajan Ganj,389500000,2024-04-23
593,DRI-11-2023-0593,6,15,Drinking Water,Construction of drinking water facility at Kakar Nagar,297300000,2025-08-28
594,RAI-21-2023-0594,16,7,Railways,Construction of railways facility at Dalal Ganj,151700000,2025-04-03
595,ROA-24-2023-0595,19,4,Roads,Construction of roads facility at Kibe Chowk,453900000,2025-02-22
596,SAN-18-2023-0596,13,6,Sanitation,Construction of sanitation facility at Jayaraman,469800000,2024-07-05
597,ELE-14-2023-0597,9,19,Electricity,Construction of electricity facility at Nagy Ganj,93300000,2025-04-25
598,EDU-9-2023-0598,4,3,Education,Construction of education facility at Rai Road,470900000,2024-08-28
599,ROA-14-2023-0599,9,3,Roads,Construction of roads facility at Parmer Circle,272300000,2024-04-27
600,SPO-6-2023-0600,1,11,Sports,Construction of sports facility at Parsa Road,328700000,2024-10-03
601,EDU-26-2023-0601,21,9,Education,Construction of education facility at Shukla Chowk,391800000,2023-11-16
602,SAN-12-2023-0602,7,12,Sanitation,Construction of sanitation facility at Nagarajan Chowk,191000000,2025-08-11
603,ELE-29-2023-0603,24,13,Electricity,Construction of electricity facility at Prabhakar Ganj,114300000,2024-05-01
604,EDU-22-2023-0604,17,14,Education,Construction of education facility at Bath Marg,76800000,2024-11-10
605,EDU-26-2023-0605,21,4,Education,Construction of education facility at Dhingra Ganj,218200000,2023-09-13
606,SAN-8-2023-0606,3,15,Sanitation,Construction of sanitation facility at Sahni Road,338500000,2024-04-17
607,DRI-20-2023-0607,15,5,Drinking Water,Construction of drinking water facility at Hayre Street,483200000,2024-05-14
608,RAI-20-2023-0608,15,16,Railways,Construction of railways facility at Raghavan Ganj,350200000,2024-11-16
609,HEA-9-2023-0609,4,16,Health,Construction of health facility at Tata Ganj,383800000,2024-11-01
610,DRI-18-2023-0610,13,1,Drinking Water,Construction of drinking water facility at Kurian Path,117300000,2025-04-15
611,EDU-28-2023-0611,23,6,Education,Construction of education facility at Swaminathan Chowk,439600000,2024-08-23
612,SPO-28-2023-0612,23,1,Sports,Construction of sports facility at Pandey Street,378100000,2024-01-10
613,SPO-13-2023-0613,8,7,Sports,Construction of sports facility at Suresh Street,150500000,2024-01-21
614,RAI-13-2023-0614,8,15,Railways,Construction of railways facility at Bhargava Circle,468900000,2024-10-11
615,ELE-24-2023-0615,19,19,Electricity,Construction of electricity facility at Borde Nagar,74300000,2025-05-28
616,EDU-10-2023-0616,5,10,Education,Construction of education facility at Ahuja Nagar,112600000,2024-07-17
617,DRI-25-2023-0617,20,11,Drinking Water,Construction of drinking water facility at Kashyap Street,75800000,2023-10-23
618,ROA-6-2023-0618,1,1,Roads,Construction of roads facility at Andra Street,184400000,2024-02-17
619,ELE-13-2023-0619,8,16,Electricity,Construction of electricity facility at Shah Circle,465000000,2024-06-16
620,DRI-15-2023-0620,10,3,Drinking Water,Construction of drinking water facility at Subramanian Nagar,155000000,2025-01-25
621,SAN-6-2023-0621,1,8,Sanitation,Construction of sanitation facility at Babu Chowk,387400000,2023-09-06
622,EDU-9-2023-0622,4,1,Education,Construction of education facility at Sabharwal Circle,326500000,2023-09-10
623,RAI-19-2023-0623,14,13,Railways,Construction of railways facility at Wagle Nagar,68200000,2025-03-14
624,SAN-20-2023-0624,15,6,Sanitation,Construction of sanitation facility at Wason Road,186500000,2024-04-10
625,ROA-16-2023-0625,11,16,Roads,Construction of roads facility at Thakkar Nagar,88900000,2025-05-24
626,RAI-29-2023-0626,24,12,Railways,Construction of railways facility at Gola Marg,399800000,2023-11-23
627,SPO-12-2023-0627,7,9,Sports,Construction of sports facility at Viswanathan Zila,255800000,2023-12-25
628,RAI-6-2023-0628,1,4,Railways,Construction of railways facility at Handa Ganj,269400000,2024-12-25
629,ROA-27-2023-0629,22,13,Roads,Construction of roads facility at Krishnan Circle,406600000,2025-05-26
630,HEA-12-2023-0630,7,19,Health,Construction of health facility at Loke Path,382400000,2025-05-10
631,DRI-30-2023-0631,25,17,Drinking Water,Construction of drinking water facility at Brar Marg,215400000,2024-06-16
632,DRI-16-2023-0632,11,2,Drinking Water,Construction of drinking water facility at Sharaf Marg,118700000,2024-11-12
633,EDU-28-2023-0633,23,10,Education,Construction of education facility at Kara Ganj,477500000,2024-04-20
634,SPO-7-2023-0634,2,12,Sports,Construction of sports facility at Balay Zila,243200000,2023-11-12
635,DRI-27-2023-0635,22,13,Drinking Water,Construction of drinking water facility at Raghavan Marg,451700000,2024-06-19
636,ELE-8-2023-0636,3,19,Electricity,Construction of electricity facility at Soni Circle,347300000,2023-10-14
637,DRI-10-2023-0637,5,6,Drinking Water,Construction of drinking water facility at Garg Nagar,246300000,2023-11-04
638,SPO-25-2023-0638,20,4,Sports,Construction of sports facility at Saraf Chowk,259300000,2025-01-13
639,SAN-15-2023-0639,10,19,Sanitation,Construction of sanitation facility at Chandran Path,382800000,2025-07-27
640,ROA-16-2023-0640,11,2,Roads,Construction of roads facility at Basak Circle,464700000,2024-02-26
641,ELE-28-2023-0641,23,6,Electricity,Construction of electricity facility at Soman Ganj,52500000,2024-03-29
642,ELE-27-2023-0642,22,18,Electricity,Construction of electricity facility at Borde Nagar,386100000,2025-02-13
643,HEA-17-2023-0643,12,11,Health,Construction of health facility at Bali Road,119100000,2024-01-18
644,HEA-7-2023-0644,2,3,Health,Construction of health facility at Babu Path,122800000,2024-02-08
645,EDU-26-2023-0645,21,6,Education,Construction of education facility at Dhawan,351400000,2025-04-07
646,ROA-16-2023-0646,11,13,Roads,Construction of roads facility at Bose Marg,285800000,2024-04-20
647,SPO-18-2023-0647_Sports,13,15,Sports,Construction of sports facility at Khosla Street,169500000,2024-11-14
648,ELE-10-2023-0648,5,10,Electricity,Construction of electricity facility at Zachariah Marg,314800000,2024-05-15
649,HEA-22-2023-0649,17,20,Health,Construction of health facility at Dey Marg,435700000,2025-05-06
650,SPO-7-2023-0650,2,14,Sports,Construction of sports facility at Tella Zila,297800000,2025-04-02
651,RAI-15-2023-0651,10,10,Railways,Construction of railways facility at Bera Path,327800000,2023-11-15
652,ELE-9-2023-0652,4,15,Electricity,Construction of electricity facility at Kata Marg,458900000,2025-06-13
653,SPO-7-2023-0653,2,2,Sports,Construction of sports facility at Oak Zila,185100000,2024-12-14
654,ELE-19-2023-0654,14,1,Electricity,Construction of electricity facility at Ranganathan,94700000,2025-04-23
655,RAI-22-2023-0655,17,14,Railways,Construction of railways facility at Balan Path,453800000,2025-01-05
656,ROA-8-2023-0656,3,14,Roads,Construction of roads facility at Seshadri Road,197900000,2024-09-16
657,EDU-18-2023-0657,13,6,Education,Construction of education facility at Parekh Ganj,251600000,2024-11-03
658,SAN-28-2023-0658,23,3,Sanitation,Construction of sanitation facility at Sankaran Marg,136800000,2024-01-23
659,RAI-27-2023-0659,22,14,Railways,Construction of railways facility at Rai,316100000,2023-11-06
660,DRI-11-2023-0660,6,18,Drinking Water,Construction of drinking water facility at Merchant,107900000,2025-05-12
661,HEA-20-2023-0661,15,18,Health,Construction of health facility at Borah Ganj,183400000,2023-11-03
662,ROA-26-2023-0662,21,18,Roads,Construction of roads facility at Dube Road,157500000,2024-06-22
663,SPO-16-2023-0663,11,4,Sports,Construction of sports facility at Ramachandran Street,123900000,2024-05-03
664,SAN-27-2023-0664,22,16,Sanitation,Construction of sanitation facility at Chhabra Path,429700000,2023-11-11
665,RAI-13-2023-0665,8,15,Railways,Construction of railways facility at Morar Nagar,408200000,2024-08-11
666,DRI-25-2023-0666,20,4,Drinking Water,Construction of drinking water facility at Madan Path,112600000,2023-11-19
667,DRI-7-2023-0667,2,6,Drinking Water,Construction of drinking water facility at Chahal Street,143300000,2024-01-24
668,ROA-27-2023-0668,22,3,Roads,Construction of roads facility at Sen Marg,307100000,2024-11-06
669,ROA-12-2023-0669,7,16,Roads,Construction of roads facility at Vala Circle,137100000,2024-07-13
670,RAI-27-2023-0670,22,13,Railways,Construction of railways facility at Bal Zila,298000000,2023-11-09
671,EDU-19-2023-0671,14,20,Education,Construction of education facility at Chander Path,63000000,2024-12-07
672,HEA-9-2023-0672,4,4,Health,Construction of health facility at Nair,120500000,2025-07-02
673,RAI-18-2023-0673,13,10,Railways,Construction of railways facility at Arora Marg,66000000,2024-04-14
674,SPO-12-2023-0674,7,13,Sports,Construction of sports facility at Rama Marg,390500000,2025-04-28
675,RAI-21-2023-0675,16,9,Railways,Construction of railways facility at Kibe Zila,239900000,2024-11-18
676,EDU-28-2023-0676,23,9,Education,Construction of education facility at Gara Circle,455300000,2025-02-14
677,HEA-10-2023-0677,5,10,Health,Construction of health facility at Gara Marg,327800000,2023-12-17
678,SAN-21-2023-0678,16,10,Sanitation,Construction of sanitation facility at Mitra Road,436900000,2024-03-27
679,ELE-10-2023-0679,5,17,Electricity,Construction of electricity facility at Dhingra Chowk,453100000,2023-10-20
680,DRI-13-2023-0680,8,10,Drinking Water,Construction of drinking water facility at Saran Street,343900000,2024-04-02
681,HEA-27-2023-0681,22,5,Health,Construction of health facility at Mistry Marg,148800000,2024-09-11
682,EDU-23-2023-0682,18,16,Education,Construction of education facility at Patel Zila,91300000,2024-03-14
683,EDU-13-2023-0683,8,1,Education,Construction of education facility at Tandon Ganj,84300000,2024-12-05
684,RAI-16-2023-0684,11,3,Railways,Construction of railways facility at Hayre,131300000,2024-08-21
685,DRI-6-2023-0685,1,13,Drinking Water,Construction of drinking water facility at Deshmukh Zila,250900000,2024-04-24
686,HEA-25-2023-0686,20,1,Health,Construction of health facility at Randhawa Nagar,174100000,2024-05-16
687,SAN-15-2023-0687,10,12,Sanitation,Construction of sanitation facility at Rai,74300000,2025-05-17
688,ELE-23-2023-0688,18,4,Electricity,Construction of electricity facility at Sarraf Path,405500000,2024-05-17
689,ROA-19-2023-0689,14,15,Roads,Construction of roads facility at Deshpande Marg,306900000,2024-04-21
690,RAI-13-2023-0690,8,12,Railways,Construction of railways facility at Iyer Path,332800000,2024-09-07
691,SAN-23-2023-0691,18,2,Sanitation,Construction of sanitation facility at Goel Path,369400000,2024-07-06
692,ELE-29-2023-0692_Electricity,24,8,Electricity,Construction of electricity facility at Manne Path,69100000,2025-03-24
693,SAN-15-2023-0693,10,3,Sanitation,Construction of sanitation facility at Kibe Chowk,262700000,2024-05-11
694,DRI-29-2023-0694,24,19,Drinking Water,Construction of drinking water facility at Mand Marg,421200000,2025-05-27
695,ELE-24-2023-0695,19,2,Electricity,Construction of electricity facility at Patla Marg,359300000,2023-11-28
696,SPO-10-2023-0696,5,11,Sports,Construction of sports facility at Iyengar,387500000,2024-12-03
697,SPO-12-2023-0697,7,1,Sports,Construction of sports facility at Gole Circle,266000000,2025-02-11
698,RAI-19-2023-0698,14,8,Railways,Construction of railways facility at Bala Circle,155900000,2025-03-18
699,SAN-26-2023-0699,21,14,Sanitation,Construction of sanitation facility at Kadakia Chowk,147200000,2024-08-06
700,SAN-19-2023-0700,14,6,Sanitation,Construction of sanitation facility at Biswas Road,299700000,2025-05-29
701,SPO-10-2023-0701,5,10,Sports,Construction of sports facility at Tata Marg,89800000,2023-12-18
702,SAN-14-2023-0702,9,13,Sanitation,Construction of sanitation facility at Khurana Road,105300000,2024-03-15
703,ELE-25-2023-0703,20,10,Electricity,Construction of electricity facility at Sampath Street,163400000,2025-05-05
704,DRI-24-2023-0704,19,15,Drinking Water,Construction of drinking water facility at Borah Marg,412900000,2024-08-14
705,EDU-17-2023-0705,12,7,Education,Construction of education facility at Srinivas,207600000,2024-11-26
706,RAI-30-2023-0706,25,9,Railways,Construction of railways facility at Warrior Marg,461700000,2024-09-28
707,RAI-26-2023-0707,21,6,Railways,Construction of railways facility at Bansal Marg,119300000,2025-05-07
708,ELE-8-2023-0708_Electricity,3,19,Electricity,Construction of electricity facility at Yadav Path,389900000,2024-12-05
709,ROA-25-2023-0709,20,1,Roads,Construction of roads facility at Chopra Zila,123400000,2025-04-20
710,DRI-25-2023-0710,20,5,Drinking Water,Construction of drinking water facility at Pant Ganj,294100000,2024-01-08
711,HEA-21-2023-0711,16,18,Health,Construction of health facility at Basu,243700000,2024-11-11
712,RAI-29-2023-0712,24,9,Railways,Construction of railways facility at Narula Marg,383400000,2025-05-11
713,EDU-8-2023-0713,3,14,Education,Construction of education facility at Cherian Marg,251700000,2023-09-09
714,HEA-24-2023-0714,19,15,Health,Construction of health facility at Kuruvilla Zila,166600000,2024-02-20
715,DRI-23-2023-0715,18,13,Drinking Water,Construction of drinking water facility at Venkataraman Circle,430600000,2024-11-07
716,ROA-27-2023-0716,22,10,Roads,Construction of roads facility at Kant,361400000,2024-08-12
717,EDU-26-2023-0717,21,18,Education,Construction of education facility at Raman Path,164400000,2024-08-25
718,RAI-11-2023-0718,6,19,Railways,Construction of railways facility at Tella,273600000,2023-12-27
719,ELE-25-2023-0719,20,15,Electricity,Construction of electricity facility at Bakshi Path,51600000,2024-09-09
720,EDU-21-2023-0720,16,7,Education,Construction of education facility at Merchant Zila,339100000,2024-07-20
721,SAN-6-2023-0721,1,18,Sanitation,Construction of sanitation facility at D’Alia Zila,208000000,2025-06-07
722,HEA-21-2023-0722,16,9,Health,Construction of health facility at Pall Street,241900000,2024-04-30
723,SPO-9-2023-0723,4,19,Sports,Construction of sports facility at Shah Path,140800000,2025-05-02
724,ELE-25-2023-0724,20,1,Electricity,Construction of electricity facility at Verma Ganj,103500000,2024-09-10
725,DRI-14-2023-0725,9,2,Drinking Water,Construction of drinking water facility at Soni Path,486500000,2023-11-15
726,SAN-7-2023-0726,2,19,Sanitation,Construction of sanitation facility at Sethi Chowk,404300000,2024-05-05
727,SPO-28-2023-0727,23,17,Sports,Construction of sports facility at Mital Zila,486100000,2023-10-05
728,HEA-22-2023-0728,17,6,Health,Construction of health facility at Bajaj Zila,211200000,2025-06-21
729,SAN-29-2023-0729,24,3,Sanitation,Construction of sanitation facility at Chopra Path,255100000,2025-02-07
730,RAI-15-2023-0730,10,14,Railways,Construction of railways facility at Kohli Street,128300000,2024-10-05
731,ELE-16-2023-0731,11,8,Electricity,Construction of electricity facility at Dutta Street,100700000,2024-05-15
732,SPO-13-2023-0732,8,14,Sports,Construction of sports facility at Sandhu Circle,379000000,2024-08-24
733,EDU-7-2023-0733,2,20,Education,Construction of education facility at Ravel Ganj,328200000,2025-01-02
734,EDU-13-2023-0734,8,17,Education,Construction of education facility at Grewal Street,208600000,2025-01-10
735,ELE-19-2023-0735,14,15,Electricity,Construction of electricity facility at Randhawa Marg,86100000,2023-09-23
736,ROA-18-2023-0736,13,15,Roads,Construction of roads facility at Hora,330900000,2024-08-15
737,SPO-20-2023-0737,15,12,Sports,Construction of sports facility at Sanghvi,331600000,2024-06-29
738,RAI-24-2023-0738,19,16,Railways,Construction of railways facility at Kala Nagar,432800000,2024-02-07
739,RAI-24-2023-0739,19,20,Railways,Construction of railways facility at Bhatnagar Road,84500000,2024-11-22
740,SAN-14-2023-0740,9,6,Sanitation,Construction of sanitation facility at Yadav Zila,357900000,2024-01-24
741,EDU-29-2023-0741,24,20,Education,Construction of education facility at Nanda Path,166600000,2024-02-01
742,ELE-19-2023-0742,14,7,Electricity,Construction of electricity facility at Comar Chowk,229300000,2024-03-22
743,ROA-8-2023-0743_Roads,3,3,Roads,Construction of roads facility at Wable Chowk,132800000,2025-01-09
744,SAN-27-2023-0744,22,4,Sanitation,Construction of sanitation facility at Rama Path,355000000,2024-12-18
745,SAN-9-2023-0745,4,19,Sanitation,Construction of sanitation facility at Comar Marg,310400000,2024-05-28
746,SAN-17-2023-0746,12,5,Sanitation,Construction of sanitation facility at Shankar Path,252400000,2024-12-23
